"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL398303";"";"None";"466.53";"0";"4.30";"5, TRQ-11238";"O=C(O)Cn1cc(CCN(Cc2ccccc2)S(=O)(=O)c2ccc(F)cc2)c2ccccc21";"IC50";"'='";"3.981";"nM";"8.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL925013";"Antagonist activity at human CRTH2 receptor assessed as inhibition of PGD2-induced signaling by inositol-phosphate assay";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140470";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"-8.4"
"CHEMBL3125161";"";"None";"556.62";"2";"5.97";"3q-(S)";"C[C@@]1(c2nc3ccccc3s2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1";"IC50";"'='";"17.2";"nM";"7.76";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3128665";"Antagonist activity at human CRTH2 receptor expressed in HEK cells assessed as inhibition of forskolin-induced cAMP formation preincubated for 10 mins followed by forskolin challenge measured after 10 to 60 mins by ELISA assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124832";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"CHEMBL3307715";"";"";"";"17.2"
"CHEMBL3093600";"";"None";"502.53";"2";"6.14";"15-29";"O=C(O)Cc1cnc(C(=O)c2ccc(NC(=O)c3ccc(Oc4ccccc4)cc3)cc2)c2ccccc12";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"15.63";"0.28";"1.71";"7.44";"0";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"14.0"
"CHEMBL3093599";"";"None";"486.53";"1";"6.01";"15-28";"O=C(O)Cc1cnc(C(=O)c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2)c2ccccc12";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"15.92";"0.29";"1.73";"8.04";"0";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"18.0"
"CHEMBL3093598";"";"None";"453.50";"0";"4.41";"15-27";"CN(C)c1ccc(C(=O)Nc2ccc(C(=O)c3ncc(CC(=O)O)c4ccccc34)cc2)cc1";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"18.10";"0.33";"3.80";"8.24";"0";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"6.2"
"CHEMBL2023655";"";"None";"466.32";"1";"5.98";"15-42";"O=C(O)Cc1cnc(C(=O)c2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)c2ccccc12";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL3094752";"Antagonist activity at human CRTH2 transfected in human KB8 cells assessed as inhibition of PGD2-induced increase in intracellular Ca2+ by fluo-4AM dye-based assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"KB8";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"180.0"
"CHEMBL3093600";"";"None";"502.53";"2";"6.14";"15-29";"O=C(O)Cc1cnc(C(=O)c2ccc(NC(=O)c3ccc(Oc4ccccc4)cc3)cc2)c2ccccc12";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3094752";"Antagonist activity at human CRTH2 transfected in human KB8 cells assessed as inhibition of PGD2-induced increase in intracellular Ca2+ by fluo-4AM dye-based assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"KB8";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"120.0"
"CHEMBL3093605";"";"None";"418.45";"0";"3.46";"15-6";"O=C(O)Cc1cnc(C(=O)c2ccc(NC(=O)C3CCOCC3)cc2)c2ccccc12";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3094752";"Antagonist activity at human CRTH2 transfected in human KB8 cells assessed as inhibition of PGD2-induced increase in intracellular Ca2+ by fluo-4AM dye-based assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"KB8";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"1000.0"
"CHEMBL2023655";"";"None";"466.32";"1";"5.98";"15-42";"O=C(O)Cc1cnc(C(=O)c2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)c2ccccc12";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"15.91";"0.32";"1.44";"9.70";"1";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"38.0"
"CHEMBL3093591";"";"None";"507.37";"2";"5.37";"15-41";"O=C(O)Cc1cnc(C(=O)c2ccc(C(=O)NCCc3ccc(Cl)c(Cl)c3)cc2)c2ccccc12";"IC50";"'='";"3.7";"nM";"8.43";"";"";"UO_0000065";"16.62";"0.33";"3.06";"8.75";"0";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"3.7"
"CHEMBL3093590";"";"None";"444.87";"0";"5.00";"15-38";"O=C(O)Cc1cnc(C(=O)c2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)c2ccccc12";"IC50";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"18.18";"0.35";"3.09";"8.39";"0";"CHEMBL3094753";"Displacement of [3H]PGD2 from human CRTH2 transfected in CHO cells by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091404";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";"";"8.2"
"CHEMBL1689131";"";"None";"468.45";"0";"3.58";"30";"C[C@H]1CN(Cc2cc(C(F)(F)F)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(F)cc1";"IC50";"'='";"0.3";"nM";"9.52";"";"";"UO_0000065";"20.33";"0.39";"5.94";"13.59";"0";"CHEMBL1693030";"Displacement of [3H]PGD2 from human CRTh2 receptor expressed in HEK293 cells after 2 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687938";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3307715";"";"";"";"0.3"
"CHEMBL1689119";"";"None";"438.93";"0";"2.70";"18, (S)-enantiomer";"C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1";"IC50";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"20.73";"0.43";"6.40";"10.44";"0";"CHEMBL1693030";"Displacement of [3H]PGD2 from human CRTh2 receptor expressed in HEK293 cells after 2 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687938";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3307715";"";"";"";"0.8"
"CHEMBL1689129";"";"None";"451.35";"0";"3.73";"28";"C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1Cl";"IC50";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"18.28";"0.38";"4.52";"11.77";"0";"CHEMBL1693030";"Displacement of [3H]PGD2 from human CRTh2 receptor expressed in HEK293 cells after 2 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL5071";"Prostaglandin D2 receptor 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1687938";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3307715";"";"";"";"5.6"
