Bioactivity_ID,Activity_Value,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Aid_Type,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Taxonomy_ID,Cell_ID,Target_Taxonomy_ID,Anatomy_ID,Anatomy,dois,pmcids,pclids,citations
155791097,1.2e-05,465035,103739456,16222207,"",11251,20137942,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Antagonist activity at human CRTH2 receptor expressed in HEK385-7 cells assessed as inhibition of PGD2-mediated beta-arrestin translocation preincubated 5 mins prior to PGD2 challenge measured after 5 mins by BRET assay,2-(2-(Bis(4-fluorophenyl)methyl)-4-(3-fluorophenyl)pyrimidin-5-yl)acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2010.01.092,"",9949131,"Grimstrup M, Receveur J, Rist Ø, Frimurer TM, Nielsen PA, Mathiesen JM, Högberg T. Exploration of SAR features by modifications of thiazoleacetic acids as CRTH2 antagonists. Bioorganic & Medicinal Chemistry Letters. 2010 Mar;20(5):1638–41. doi: 10.1016/j.bmcl.2010.01.092."
326041745,2e-05,705370,163314904,46189872,"",11251,22224640,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Inhibition of CRTH2,2-[4-(3-Bromo-5-methylsulfonylpyridin-2-yl)oxy-6-fluoro-3-methylnaphthalen-2-yl]acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1021/jm2013997,"",22174943,"Pettipher R, Whittaker M. Update on the development of antagonists of chemoattractant receptor-homologous molecule expressed on Th2 cells (CRTH2). From lead optimization to clinical proof-of-concept in asthma and allergic rhinitis. J Med Chem. 2012 Apr 12;55(7):2915–31. doi: 10.1021/jm2013997. PMID: 22224640."
254766535,5e-05,645364,103705008,10483360,"",11251,22264478,Confirmatory,20220830,0,0,Active,Q9Y5Y4,Kb,=,ChEMBL,Antagonist activity at CRTH2 receptor in human eosinophol assessed as inhibition of PGD2-induced eosinophol shape change preincubated for 10 mins prior PGD2 stimulation measured after 10 mins by FACS flow cytometry,Amg-009,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2011.12.107,"",420765,"Liu J(, Wang Y, Johnson MG, Li A, Shen W, Wang X, Su Y, Brown M, Van Lengerich B, Rickel E, Martin T, Budelsky A, Seitz L, Danao J, Tang HL, Collins T, Medina JC. Optimization of phenylacetic acid derivatives for balanced CRTH2 and DP dual antagonists. Bioorganic & Medicinal Chemistry Letters. 2012 Feb;22(4):1686–9. doi: 10.1016/j.bmcl.2011.12.107."
155791107,7.2e-05,465035,103739250,16660290,"",11251,20137942,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Antagonist activity at human CRTH2 receptor expressed in HEK385-7 cells assessed as inhibition of PGD2-mediated beta-arrestin translocation preincubated 5 mins prior to PGD2 challenge measured after 5 mins by BRET assay,2-(4-(4-Chlorophenyl)-2-(diphenylamino)thiazol-5-yl)acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2010.01.092,"",9949131,"Grimstrup M, Receveur J, Rist Ø, Frimurer TM, Nielsen PA, Mathiesen JM, Högberg T. Exploration of SAR features by modifications of thiazoleacetic acids as CRTH2 antagonists. Bioorganic & Medicinal Chemistry Letters. 2010 Mar;20(5):1638–41. doi: 10.1016/j.bmcl.2010.01.092."
155790774,7.9e-05,465035,103739310,16660289,"",11251,20137942,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Antagonist activity at human CRTH2 receptor expressed in HEK385-7 cells assessed as inhibition of PGD2-mediated beta-arrestin translocation preincubated 5 mins prior to PGD2 challenge measured after 5 mins by BRET assay,2-(2-(Diphenylamino)-4-(3-fluorophenyl)thiazol-5-yl)acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2010.01.092,"",9949131,"Grimstrup M, Receveur J, Rist Ø, Frimurer TM, Nielsen PA, Mathiesen JM, Högberg T. Exploration of SAR features by modifications of thiazoleacetic acids as CRTH2 antagonists. Bioorganic & Medicinal Chemistry Letters. 2010 Mar;20(5):1638–41. doi: 10.1016/j.bmcl.2010.01.092."
254766533,8.4e-05,645364,136938141,57335749,"",11251,22264478,Confirmatory,20220830,0,0,Active,Q9Y5Y4,Kb,=,ChEMBL,Antagonist activity at CRTH2 receptor in human eosinophol assessed as inhibition of PGD2-induced eosinophol shape change preincubated for 10 mins prior PGD2 stimulation measured after 10 mins by FACS flow cytometry,"2-[4-[2-[(2,4-dichlorophenyl)sulfonylamino]-4-(5-propyl-1H-pyrazol-3-yl)phenoxy]-3-methoxyphenyl]acetic acid",PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2011.12.107,"",420765,"Liu J(, Wang Y, Johnson MG, Li A, Shen W, Wang X, Su Y, Brown M, Van Lengerich B, Rickel E, Martin T, Budelsky A, Seitz L, Danao J, Tang HL, Collins T, Medina JC. Optimization of phenylacetic acid derivatives for balanced CRTH2 and DP dual antagonists. Bioorganic & Medicinal Chemistry Letters. 2012 Feb;22(4):1686–9. doi: 10.1016/j.bmcl.2011.12.107."
155791108,8.5e-05,465035,103739387,46880900,"",11251,20137942,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Antagonist activity at human CRTH2 receptor expressed in HEK385-7 cells assessed as inhibition of PGD2-mediated beta-arrestin translocation preincubated 5 mins prior to PGD2 challenge measured after 5 mins by BRET assay,"2-(2-(1,1-Diphenylethyl)-4-(4-fluorophenyl)thiazol-5-yl)acetic acid",PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2010.01.092,"",9949131,"Grimstrup M, Receveur J, Rist Ø, Frimurer TM, Nielsen PA, Mathiesen JM, Högberg T. Exploration of SAR features by modifications of thiazoleacetic acids as CRTH2 antagonists. Bioorganic & Medicinal Chemistry Letters. 2010 Mar;20(5):1638–41. doi: 10.1016/j.bmcl.2010.01.092."
254440713,9e-05,638306,103705008,10483360,"",11251,22119474,Confirmatory,20220830,0,0,Active,Q9Y5Y4,Kb,=,ChEMBL,Antagonist activity at CRTH2 receptor in human eosinophil assessed as inhibition of PGD2-induced cell shape change preincubated for 10 mins before PGD2 challenge by FACS analysis,Amg-009,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2011.10.123,"",3830367,"Wang Y, Fu Z, Schmitt M, Wang X, Shen W, Rickel E, Martin T, Budelsky A, Marshall D, Collins T, Tang HL, Medina JC, Liu J(. Optimization of phenylacetic acid derivatives for CRTH2 and DP selective antagonism. Bioorganic & Medicinal Chemistry Letters. 2012 Jan;22(1):367–70. doi: 10.1016/j.bmcl.2011.10.123."
155791106,9.8e-05,465035,103739251,16660132,"",11251,20137942,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Antagonist activity at human CRTH2 receptor expressed in HEK385-7 cells assessed as inhibition of PGD2-mediated beta-arrestin translocation preincubated 5 mins prior to PGD2 challenge measured after 5 mins by BRET assay,2-(2-(Diphenylamino)-4-(4-fluorophenyl)thiazol-5-yl)acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2010.01.092,"",9949131,"Grimstrup M, Receveur J, Rist Ø, Frimurer TM, Nielsen PA, Mathiesen JM, Högberg T. Exploration of SAR features by modifications of thiazoleacetic acids as CRTH2 antagonists. Bioorganic & Medicinal Chemistry Letters. 2010 Mar;20(5):1638–41. doi: 10.1016/j.bmcl.2010.01.092."
224527794,0.0001,598939,131273514,54580766,"",11251,21592791,Confirmatory,20220830,0,0,Active,Q9Y5Y4,IC50,=,ChEMBL,Displacement of [3H]-PGD2 from CRTh2 receptor by scintillation proximity assay,2-[2-[2-Chloro-4-[methyl(methylsulfonyl)amino]phenyl]-4-(trifluoromethyl)phenoxy]acetic acid,PTGDR2 - prostaglandin D2 receptor 2 (human),/gene/11251,"",Q9Y5Y4,9606,"","","","",10.1016/j.bmcl.2011.04.101,"",9320729,"Luker T, Bonnert R, Schmidt J, Sargent C, Paine SW, Thom S, Pairaudeau G, Patel A, Mohammed R, Akam E, Dougall I, Davis AM, Abbott P, Brough S, Millichip I, McInally T. Switching between agonists and antagonists at CRTh2 in a series of highly potent and selective biaryl phenoxyacetic acids. Bioorganic & Medicinal Chemistry Letters. 2011 Jun;21(12):3616–21. doi: 10.1016/j.bmcl.2011.04.101."
