ID,SMILES,IC50(nM)
BDBM205912,C#CCCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,28.8
BDBM50435105,C/C(=C(/C#N)C(O)=Nc1ccccc1)c1cn(CC(=O)O)c2ccccc12,510.0
BDBM205910,C=C(C)CCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,2.5
BDBM50312297,CC(=O)N(Cc1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,430.0
BDBM50312303,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)/C=C/c2ccccc2)c2ccccc21,210.0
BDBM50312301,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)Cc2ccccc2)c2ccccc21,1750.0
BDBM50312302,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)OCc2ccccc2)c2ccccc21,910.0
BDBM50312310,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C(C)(C)C)cc2)c2ccccc21,34.0
BDBM50312308,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)c(C)c2)c2ccccc21,92.0
BDBM50312307,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)cc2)c2ccccc21,41.0
BDBM50312309,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Cl)cc2)c2ccccc21,93.0
BDBM50312290,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(OC(F)(F)F)cc2)c2ccccc21,26.0
BDBM50312311,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc21,13.0
BDBM50312306,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2cccc(C)c2)c2ccccc21,74.0
BDBM50312305,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2C)c2ccccc21,1420.0
BDBM50312299,CC(=O)N(c1ccccc1)C1CC(C)N(Cc2ccccc2)c2ccccc21,200.0
BDBM50312300,CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21,62000.0
BDBM50312285,CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,65.5
BDBM50312283,CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2ccccc2)c2ccccc21,546.5
BDBM50312284,CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,217.0
BDBM50312312,CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2ccccc2)c2ccccc21,420.0
BDBM50309258,CC(=O)N1CCC(c2ccccc2)(c2nc(-c3ccc(Cl)cc3)c(CC(=O)O)s2)CC1,301.0
BDBM50309329,CC(=O)N1CCN(c2cc(-c3nc(C(c4ccc(F)cc4)c4ccc(F)cc4)sc3CC(=O)O)ccn2)CC1,360.0
BDBM50435110,CC(=O)N1CCc2c(c3ccccc3n2CC(=O)O)C1,1600.0
BDBM50200252,CC(=O)c1cc(Br)ccc1OCC(=O)O,2515.0
BDBM50302810,CC(=O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2)c1,380.0
BDBM50387209,CC(=O)c1cccc(CSc2nc3ccccc3n2CC(=O)O)c1,230.0
BDBM50381834,CC(C)(C(=O)O)c1cnc(C(=O)c2ccc(C(=O)NCCc3ccc(Cl)cc3)cc2)c2ccccc12,200.0
BDBM50162896,CC(C)(C)C1CCc2c(c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3n2CC(=O)O)C1,120.0
BDBM189168,CC(C)(C)CC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,950.0
BDBM189193,CC(C)(C)CCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,1.3
BDBM50363928,CC(C)(C)N=C(O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,5.5
BDBM50363927,CC(C)(C)N=C(O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2Cl)c1,14.0
BDBM50363920,CC(C)(C)N=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,12.0
BDBM50363922,CC(C)(C)N=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,8.5
BDBM205950,CC(C)(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,2.8
BDBM205959,CC(C)(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,3.7
BDBM50200269,CC(C)(C)c1cc(Br)ccc1OCC(=O)O,242.0
BDBM205831,CC(C)(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC(F)(F)F)c2C1)c1ccccc1,14.8
BDBM205817,CC(C)(CC(=O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC(F)(F)F)c2C1)c1ccccc1,8.9
BDBM50384473,CC(C)CC(=O)N(Cc1ccc(S(C)(=O)=O)cc1)c1cc(F)cc(-c2nn[nH]n2)c1,46.0
