SMILES,IC50(nM),ID
C#CCCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,28.8,CHEMBL3941461
C/C(=C(/C#N)C(=O)Nc1ccccc1)c1cn(CC(=O)O)c2ccccc12,510.0,CHEMBL2391509
C=C(C)CCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,2.5,CHEMBL3946352
CC(=O)N(Cc1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,430.0,CHEMBL1079652
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)/C=C/c2ccccc2)c2ccccc21,210.0,CHEMBL1079659
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)Cc2ccccc2)c2ccccc21,1750.0,CHEMBL1079657
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)OCc2ccccc2)c2ccccc21,910.0,CHEMBL1079658
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C(C)(C)C)cc2)c2ccccc21,34.0,CHEMBL1080342
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)c(C)c2)c2ccccc21,92.0,CHEMBL1081938
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)cc2)c2ccccc21,41.0,CHEMBL1081774
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Cl)cc2)c2ccccc21,93.0,CHEMBL1080341
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(OC(F)(F)F)cc2)c2ccccc21,26.0,CHEMBL1079854
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc21,13.0,CHEMBL1080198
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2cccc(C)c2)c2ccccc21,74.0,CHEMBL1081773
CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2C)c2ccccc21,1420.0,CHEMBL1081577
CC(=O)N(c1ccccc1)C1CC(C)N(Cc2ccccc2)c2ccccc21,200.0,CHEMBL1079653
CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21,62000.0,CHEMBL1081772
CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,65.5,CHEMBL1081534
CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2ccccc2)c2ccccc21,241.5,CHEMBL1080622
CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,217.0,CHEMBL1081535
CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2ccccc2)c2ccccc21,420.0,CHEMBL1080627
CC(=O)N1CCC(c2ccccc2)(c2nc(-c3ccc(Cl)cc3)c(CC(=O)O)s2)CC1,301.0,CHEMBL591983
CC(=O)N1CCN(c2cc(-c3nc(C(c4ccc(F)cc4)c4ccc(F)cc4)sc3CC(=O)O)ccn2)CC1,360.0,CHEMBL607084
CC(=O)N1CCc2c(c3ccccc3n2CC(=O)O)C1,1600.0,CHEMBL2391535
CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,3620.0,CHEMBL1079486
CC(=O)Nc1ccc(-c2c(C)c(CC(=O)O)cc3ccc(Cl)cc23)cc1,29.2,CHEMBL3667665
CC(=O)Nc1ccc(C(=O)c2ncc(CC(=O)O)c3ccccc23)cc1,330.0,CHEMBL2023637
CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,56.0,CHEMBL1917436
CC(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,18.0,CHEMBL1917457
CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,7.1,CHEMBL1917449
CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,4.3,CHEMBL1914489
CC(=O)Nc1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,857.0,CHEMBL3896506
CC(=O)c1cc(Br)ccc1OCC(=O)O,2515.0,CHEMBL384130
CC(=O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2)c1,380.0,CHEMBL584933
CC(=O)c1cccc(CSc2nc3ccccc3n2CC(=O)O)c1,230.0,CHEMBL2048184
CC(C)(C(=O)O)c1cnc(C(=O)c2ccc(C(=O)NCCc3ccc(Cl)cc3)cc2)c2ccccc12,200.0,CHEMBL2023658
CC(C)(C)C1CCc2c(c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3n2CC(=O)O)C1,120.0,CHEMBL369330
CC(C)(C)CC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,950.0,CHEMBL3970419
CC(C)(C)CCOC(=O)N1CCc2ncsc2[C@H]1c1cc(Cl)ccc1OCC(=O)O,1.3,CHEMBL3909133
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,5.5,CHEMBL1951575
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2Cl)c1,14.0,CHEMBL1951574
CC(C)(C)NC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,12.0,CHEMBL1951555
CC(C)(C)NC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,8.5,CHEMBL1951569
CC(C)(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,2.8,CHEMBL3976895
CC(C)(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,3.7,CHEMBL3971828
CC(C)(C)c1cc(Br)ccc1OCC(=O)O,242.0,CHEMBL386348
CC(C)(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC(F)(F)F)c2C1)c1ccccc1,14.8,CHEMBL3898400
CC(C)(CC(=O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC(F)(F)F)c2C1)c1ccccc1,8.9,CHEMBL3949839
CC(C)CC(=O)N(Cc1ccc(S(C)(=O)=O)cc1)c1cc(F)cc(-c2nnn[nH]2)c1,46.0,CHEMBL2036222
CC(C)CCOC(=O)N1CCc2ncsc2[C@H]1c1cc(Cl)ccc1OCC(=O)O,0.4,CHEMBL3918066
CC(C)CN(c1nc2cc(F)ccc2o1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,2.0,CHEMBL3674033
CC(C)COC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,17.8,CHEMBL3896656
CC(C)COc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,1.28,CHEMBL3917166
CC(C)N(c1nc2cc(F)ccc2o1)C1CCc2c(CC(=O)O)c3ccc(Cl)cc3n2C1,3.0,CHEMBL3674031
CC(C)N(c1ncc(Cl)cn1)[C@H]1CCc2c(c3cc(F)ccc3n2CC(=O)O)C1,809.0,CHEMBL3680663
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,4.2,CHEMBL3912327
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,3.7,CHEMBL3929228
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,1.2,CHEMBL3979139
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,2.1,CHEMBL3903314
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)C[C@H](C)c1ccccc1)CC2,10.3,CHEMBL3974255
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,2.3,CHEMBL3972404
CC(C)Oc1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,1.6,CHEMBL3910079
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(C#N)c2c1CN(C(=O)OCc1ccccc1)CC2,1.4,CHEMBL3915718
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)(C)c1ccccc1)CC2,5.9,CHEMBL3891887
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC(C)c1ccccn1)CC2,1.6,CHEMBL3900865
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1CCOc3ccccc31)CC2,5.0,CHEMBL3914404
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COCc3ccccc31)CC2,0.8,CHEMBL3937865
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1COc3ccccc31)CC2,1.2,CHEMBL3950100
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1OCCc3ccccc31)CC2,1.9,CHEMBL3922370
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)C[C@@H](C)c1ccccc1)CC2,2.5,CHEMBL3945535
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,4.72,CHEMBL3912881
CC(C)Oc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,12.9,CHEMBL3911837
CC(C)Oc1ccc(OCC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,7.94,CHEMBL3960097
CC(C)Oc1ccc(OCC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)[C@@H]1C[C@H]1c1ccccc1)CC2,1.38,CHEMBL3969751
CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(CC(=O)O)c4ccc(F)cc43)CC2)cc1,1.3,CHEMBL3693865
CC(C)Oc1ccc(S(=O)(=O)N2CCC(n3cc(OC=O)c4ccccc43)CC2)cc1,1.6,CHEMBL3693868
CC(C)Oc1ccc(S(=O)(=O)N2CC[C@@H](n3cc(C(=O)O)c4ccc(Cl)cc43)C2)cc1,7.0,CHEMBL3693871
CC(C)Oc1ccc(S(=O)(=O)N2CC[C@@H](n3cc(CC(=O)O)c4ccc(Cl)cc43)C2)cc1,1.2,CHEMBL3693869
CC(C)Oc1ccc(S(=O)(=O)N2CC[C@@H](n3cc(CC(=O)O)c4ccc(F)cc43)C2)cc1,2.9,CHEMBL3693870
CC(C)Oc1ccc(S(=O)(=O)N2CC[C@@H](n3cc(CC(=O)O)c4ccccc43)C2)cc1,3.8,CHEMBL3693866
CC(C)Oc1ccc(S(=O)(=O)N2CC[C@H](n3nc(CC(=O)O)c4cc(Cl)ccc43)C2)cc1,3.0,CHEMBL3693867
CC(C)S(=O)(=O)c1ccc(Cl)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,67.0,CHEMBL1917595
CC(C)S(=O)(=O)c1ccc(F)c(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,91.0,CHEMBL1917593
CC(C)c1cc(CC(=O)O)ccc1-c1ccc(F)c2c1CN(C(=O)OCc1ccccc1)CC2,19.4,CHEMBL3969003
CC(C)c1ccc(Nc2nc(-c3ccc(Cl)cc3)c(CC(=O)O)s2)cc1,8600.0,CHEMBL605149
CC(C)c1ccc(S(C)(=O)=O)cc1C#Cc1cc(Cl)ccc1OCC(=O)O,360.0,CHEMBL1917582
CC(C)c1ccc2c(c1)c1c(n2CC(=O)O)CCN(C(=O)c2ccccc2)C1,42.0,CHEMBL2386073
CC(C)c1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,64.8,CHEMBL3919356
CC(CC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC(F)(F)F)c2C1)c1ccccn1,8.1,CHEMBL3983764
CC(CC(=O)N1CCc2c(F)ccc(-c3ccc(CC(=O)O)cc3OCC(F)(F)F)c2C1)c1ccccn1,10.0,CHEMBL3922667
CC(Oc1cccc(CCCn2cc(C(c3ccccc3)c3ccccc3)ccc2=O)c1)C(=O)O,17.0,CHEMBL1941123
CC(c1ccccc1)(c1ccccc1)c1nc(-c2ccc(F)cc2)c(CC(=O)O)s1,3.9925,CHEMBL1087622
CC1(C)CC1C(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,37.1,CHEMBL3922134
CC1(c2ccccc2)CC(c2ccc3c(=O)n(-c4ccc(F)cc4)c(CCCCC(=O)O)nc3c2)=NO1,18.6,CHEMBL3125326
CC1CC(N(C(=O)/C=C/C(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,2280.0,CHEMBL1081057
CC1CC(N(C(=O)CC(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,540.0,CHEMBL1081047
CC1CC(N(C(=O)CCC(=O)O)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,16.5,CHEMBL1081788
CC1CC(N(C(=O)CCC(=O)ON)c2ccccc2)c2ccccc2N1C(=O)c1ccccc1,29.0,CHEMBL1081789
