SMILES,Name
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Pyridoxal phosphate
C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,Ademetionine
N[C@@H](Cc1ccccc1)C(=O)O,Phenylalanine
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,Biotin
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,Ascorbic acid
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,Adenosine phosphate
N[C@@H](Cc1ccc(O)cc1)C(=O)O,Tyrosine
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Calcitriol
CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Lutein
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Riboflavin
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,Calcifediol
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Tryptophan
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Thiamine
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,Ergocalciferol
NC(=O)C1=CN([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NADH
Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Folic acid
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,Vitamin A
Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,Vitamin E
Cc1ncc(CO)c(CO)c1O,Pyridoxine
O=C(O)CCCC[C@@H]1CCSS1,Lipoic acid
