ID,pIC50,SMILES,IC50(nM)
BDBM205912|CHEMBL3941461,7.540607512240769,C#CCCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,28.8
CHEMBL2391509,6.292429823902063,C/C(=C(/C#N)C(=O)Nc1ccccc1)c1cn(CC(=O)O)c2ccccc12,510.0
BDBM50435105,6.292429823902063,C/C(=C(/C#N)C(O)=Nc1ccccc1)c1cn(CC(=O)O)c2ccccc12,510.0
BDBM205910|CHEMBL3946352,8.602059991327963,C=C(C)CCOC(=O)N1CCc2c(F)ccc(-c3cc(CC(=O)O)ccc3OCC)c2C1,2.5
71552009,6.292429823902063,CC(=C(C#N)C(=O)Nc1ccccc1)c1cn(CC(=O)O)c2ccccc12,510.0
10430988|BDBM50312297|CHEMBL1079652,6.366531544420413,CC(=O)N(Cc1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,430.0
BDBM50312303|CHEMBL1079659,6.6777807052660805,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)/C=C/c2ccccc2)c2ccccc21,210.0
5290618,6.6777807052660805,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)C=Cc2ccccc2)c2ccccc21,210.0
10069458|BDBM50312301|CHEMBL1079657,5.756961951313706,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)Cc2ccccc2)c2ccccc21,1750.0
46878931|BDBM50312302|CHEMBL1079658,6.040958607678906,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)OCc2ccccc2)c2ccccc21,910.0
2835229|BDBM50312310|CHEMBL1080342,7.468521082957745,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C(C)(C)C)cc2)c2ccccc21,34.0
46879286|BDBM50312308|CHEMBL1081938,7.036212172654444,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)c(C)c2)c2ccccc21,92.0
46879285|BDBM50312307|CHEMBL1081774,7.3872161432802645,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(C)cc2)c2ccccc21,41.0
10251489|BDBM50312309|CHEMBL1080341,7.031517051446064,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Cl)cc2)c2ccccc21,93.0
46879319|BDBM50312290|CHEMBL1079854,7.585026652029182,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(OC(F)(F)F)cc2)c2ccccc21,26.0
46879342|BDBM50312311|CHEMBL1080198,7.886056647693163,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc21,13.0
46879284|BDBM50312306|CHEMBL1081773,7.130768280269024,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2cccc(C)c2)c2ccccc21,74.0
21093095|46879377,6.917214629683549,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,121.0
1101166|1101169,6.660548558693559,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2)c2ccccc21,218.5
46878930|BDBM50312305|CHEMBL1081577,5.847711655616943,CC(=O)N(c1ccccc1)C1CC(C)N(C(=O)c2ccccc2C)c2ccccc21,1420.0
22935741|BDBM50312299|CHEMBL1079653,6.698970004336019,CC(=O)N(c1ccccc1)C1CC(C)N(Cc2ccccc2)c2ccccc21,200.0
BDBM50312300|CHEMBL1081772,4.207608310501746,CC(=O)N(c1ccccc1)C1CC(C)N(S(=O)(=O)c2ccccc2)c2ccccc21,62000.0
BDBM50312285|CHEMBL1081534,7.183758700008217,CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,65.5
BDBM50312283|CHEMBL1080622,6.404503778174426,CC(=O)N(c1ccccc1)[C@@H]1C[C@H](C)N(C(=O)c2ccccc2)c2ccccc21,394.0
BDBM50312284|CHEMBL1081535,6.66354026615147,CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2cccc(OC(F)(F)F)c2)c2ccccc21,217.0
BDBM50312312|CHEMBL1080627,6.376750709602099,CC(=O)N(c1ccccc1)[C@H]1C[C@@H](C)N(C(=O)c2ccccc2)c2ccccc21,420.0
46229939|BDBM50309258|CHEMBL591983,6.521433504406156,CC(=O)N1CCC(c2ccccc2)(c2nc(-c3ccc(Cl)cc3)c(CC(=O)O)s2)CC1,301.0
46229991|BDBM50309329|CHEMBL607084,6.443697499232712,CC(=O)N1CCN(c2cc(-c3nc(C(c4ccc(F)cc4)c4ccc(F)cc4)sc3CC(=O)O)ccn2)CC1,360.0
11521904|BDBM50435110|CHEMBL2391535,5.795880017344075,CC(=O)N1CCc2c(c3ccccc3n2CC(=O)O)C1,1600.0
5197257|CHEMBL1079486,5.441291429466834,CC(=O)NC1CC(C)N(C(=O)c2ccccc2)c2ccccc21,3620.0
CHEMBL3667665,7.534617148551582,CC(=O)Nc1ccc(-c2c(C)c(CC(=O)O)cc3ccc(Cl)cc23)cc1,29.2
70687779|CHEMBL2023637,6.481486060122112,CC(=O)Nc1ccc(C(=O)c2ncc(CC(=O)O)c3ccccc23)cc1,330.0
11315250|CHEMBL1917436,7.251811972993799,CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,56.0
11682247|CHEMBL1917457,7.7447274948966935,CC(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,18.0
10409908|CHEMBL1917449,8.148741651280925,CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O,7.1
11292191|CHEMBL1914489,8.366531544420413,CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,4.3
CHEMBL3896506,6.0670191780768015,CC(=O)Nc1nc2c(s1)C(c1cc(Cl)ccc1OCC(=O)O)N(C(=O)OCc1ccccc1)CC2,857.0
19261363|BDBM50200252|CHEMBL384130,5.599462010608054,CC(=O)c1cc(Br)ccc1OCC(=O)O,2515.0
45486095|BDBM50302810|CHEMBL584933,6.42021640338319,CC(=O)c1ccc(Oc2cccc(CC(=O)O)c2)c(NS(=O)(=O)c2ccccc2)c1,380.0
11544651|BDBM50387209|CHEMBL2048184,6.638272163982407,CC(=O)c1cccc(CSc2nc3ccccc3n2CC(=O)O)c1,230.0
53248845|54580744,7.782516055786093,CC(C(=O)N(C)C1CCc2c(CC(=O)O)c3ccccc3n2C1)c1ccc(F)cc1,16.5
45109984|45112038,7.425968732272281,CC(C(=O)N(C)C1CCc2c(CC(=O)O)c3cccnc3n2C1)c1ccc(F)cc1,37.50000000000001
56653431|BDBM50381834|CHEMBL2023658,6.698970004336019,CC(C)(C(=O)O)c1cnc(C(=O)c2ccc(C(=O)NCCc3ccc(Cl)cc3)cc2)c2ccccc12,200.0
44390354|BDBM50162896|CHEMBL369330,6.920818753952375,CC(C)(C)C1CCc2c(c3cc(NS(=O)(=O)c4ccc(F)cc4)ccc3n2CC(=O)O)C1,120.0
BDBM189168|CHEMBL3970419,6.022276394711152,CC(C)(C)CC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,950.0
BDBM189193,8.886056647693163,CC(C)(C)CCOC(=O)N1CCc2ncsc2C1c1cc(Cl)ccc1OCC(=O)O,1.3
CHEMBL3909133,8.886056647693163,CC(C)(C)CCOC(=O)N1CCc2ncsc2[C@H]1c1cc(Cl)ccc1OCC(=O)O,1.3
BDBM50363928,8.259637310505756,CC(C)(C)N=C(O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,5.5
BDBM50363927,7.853871964321762,CC(C)(C)N=C(O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2Cl)c1,14.0
BDBM50363920,7.920818753952375,CC(C)(C)N=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,12.0
BDBM50363922,8.070581074285707,CC(C)(C)N=C(O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,8.5
