ID,IC50(nM),SMILES
44417456,391.0,C1=CC(=C(C=C1Br)C(=O)C2=CC=NO2)OCC(=O)O
968879,124.0,C1=CC(=C(C=C1Br)C=O)OCC(=O)O
894151,886.0,C1=CC(=C(C=C1Br)CO)OCC(=O)O
54585641,0.2,C1=CC(=C(C=C1C#N)C2=C(C=CC(=C2)C(F)(F)F)OCC(=O)O)F
46865879,680.0,C1=CC(=C(C=C1CO)F)C#CC2=C(C=CC(=C2)Cl)OCC(=O)O
44417453,3.4,C1=CC(=CC(=C1)Br)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Br)OCC(=O)O
54587655,0.4,C1=CC(=CC(=C1)C2=C(C=CC(=C2)C(F)(F)F)OCC(=O)O)C#N
11403482,1.7,C1=CC(=CC(=C1)C2=C(C=CC(=C2)Cl)OCC(=O)O)C#N
46230425,20.0,C1=CC(=CC(=C1)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)C#N
46865762,29.0,C1=CC(=CC(=C1)Cl)C#CC2=C(C=CC(=C2)Cl)OCC(=O)O
11633547,1.4,C1=CC(=CC(=C1)F)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O
46880901,1.0,C1=CC(=CC(=C1)F)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CCC(=O)O
46880939,0.2,C1=CC(=CC(=C1)F)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OCC(=O)O
16222207,0.012,C1=CC(=CC(=C1)F)C2=NC(=NC=C2CC(=O)O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
46880246,1260.0,C1=CC(=CC(=C1)F)C2=NC(=NC=C2CC(=O)O)N(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
46880941,2070.0,C1=CC(=CC(=C1)F)C2=NC(=NC=C2CCC(=O)O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
45486034,130.0,C1=CC(=CC(=C1)OC2=C(C=C(C=C2)N)NS(=O)(=O)C3=CC=C(C=C3)Cl)CC(=O)O
57396512,9.2,C1=CC(=CC(=C1)OCC(=O)O)CCCN2C=C(C=CC2=O)C(C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl
57394760,11.0,C1=CC(=CC(=C1)OCC(=O)O)CCCN2C=C(C=CC2=O)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
56594517,990.0,C1=CC(=CC(=C1)S(=O)(=O)CCO)C#CC2=C(C=CC(=C2)Cl)OCC(=O)O
46230513,140.0,C1=CC(=CC(=C1)S(=O)(=O)N)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O
54583732,126.0,C1=CC(=CC=C1C#N)C2=C(C=CC(=C2)C(F)(F)F)OCC(=O)O
46230424,150.0,C1=CC(=CC=C1C#N)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O
46230511,57.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=C(C=C4)F)C#N)F
11496258,3.5,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=C(C=C4)F)F)F
46230423,35.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=CC(=C4)F)F)F
46229994,71.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=CN=C4)F)F
46229847,5.4,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=NC(=C4)F)F)F
46229886,220.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=NC(=C4)F)N)F
46229846,3.1,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=NC=C4)Cl)F
46229845,0.48000000000000004,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=NC=C4)F)F
16222206,4.8,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=NC=C4)N)F
46229885,68.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC(=O)NC=C4)F
46229801,5.3,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC=NC=C4)F
46229799,280.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC=NN4)F
46229992,100.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CN=C(C=C4)N)F
46229753,16.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CNN=C4)F
46229752,14.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=COC=C4)F
71624969,290.0,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)N3C=C(C(=N3)C4=CC=NC=C4)CC(=O)O)F
11336492,50.0,C1=CC(=CC=C1C2=C(C=CC(=C2)C(F)(F)F)OCC(=O)O)Cl
46880940,9140.0,C1=CC(=CC=C1C2=C(NC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)F
46230186,9.700000000000001,C1=CC(=CC=C1C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)Cl
11568356,7.5,C1=CC(=CC=C1C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)F
46230512,1500.0,C1=CC(=CC=C1C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)S(=O)(=O)N
46230042,32.0,C1=CC(=CC=C1C2=C(SC(=N2)COC3=CC=C(C=C3)Cl)CC(=O)O)Cl
46230041,730.0,C1=CC(=CC=C1C2=C(SC(=N2)CS(=O)(=O)C3=CC=C(C=C3)Cl)CC(=O)O)Cl
16660288,0.24000000000000002,C1=CC(=CC=C1C2=C(SC(=N2)N(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O)F
46230380,700.0,C1=CC(=CC=C1C2=C(SC(=N2)NC3=CC=C(C=C3)C(F)(F)F)CC(=O)O)Cl
3145377,960.0,C1=CC(=CC=C1C2=C(SC(=N2)NC3=CC=C(C=C3)Cl)CC(=O)O)F
46230521,50.0,C1=CC(=CC=C1CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl)Cl
11547484,1.4,C1=CC(=CC=C1N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Br)OCC(=O)O)Br
11704767,1.5,C1=CC(=CC=C1N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Br)OCC(=O)O)Cl
57402651,89.0,C1=CC(=CC=C1SC2=CN(C3=C2C=C(C=C3)Cl)CC(=O)O)Cl
46229800,68.0,C1=CC(=CN=C1)C2=C(SC(=N2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)CC(=O)O
9566750,54.0,C1=CC2=C(C(=C1)NN=CC3=C(C=CC(=C3)Br)OCC(=O)O)N=CC=C2
70692435,7.4,C1=CC2=C(C=C1Cl)C3(C(=O)N(C(=O)N3)CC4=C(C=CC(=C4)Cl)F)C(=O)N2CC(=O)O
46865761,123.0,C1=CC=C(C(=C1)C#CC2=C(C=CC(=C2)Cl)OCC(=O)O)Cl
5333629,555.0,C1=CC=C(C(=C1)C=NNC(=O)COC2=C(C=C(C=C2)Cl)Cl)OCC(=O)O
46533,1970.0,C1=CC=C(C(=C1)C=O)OCC(=O)O
46229761,700.0,C1=CC=C(C(=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F)Br
46229854,160.0,C1=CC=C(C(=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F)C4=CC(=CC=C4)OC(F)(F)F
46229806,170.0,C1=CC=C(C(=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F)C4=CC=C(C=C4)C#N
46229807,340.0,C1=CC=C(C(=C1)CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)F)C4=CC=CC(=C4)C#N
70692570,580.0,C1=CC=C(C(=C1)CSC2=NC3=CC=CC=C3N2CC(=O)O)Br
70690398,370.0,C1=CC=C(C(=C1)CSC2=NC3=CC=CC=C3N2CC(=O)O)Cl
11511330,1.9,C1=CC=C(C(=C1)N2C=C(C=N2)C(=O)C3=C(C=CC(=C3)Br)OCC(=O)O)Br
59644732,2510.0,C1=CC=C(C(=C1)NS(=O)(=O)C2=C(C=C(C=C2)Cl)Cl)OC3=CC=CC(=C3)CC(=O)O
44417452,53.0,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)OCC(=O)O
70689823,7.9,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C3=NC=C(C4=CC=CC=C43)CC(=O)O
39200227,520.0,C1=CC=C(C=C1)C(=O)NC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
11626318,10.0,C1=CC=C(C=C1)C(C2=CC(=C(C=C2)F)F)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
11590561,45.0,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
11495838,14.0,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
46230148,17.0,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46230375,3.4,C1=CC=C(C=C1)C(C2=CC=C(C=C2)O)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
24961406,42.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCC(=O)O
57390357,11.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCCCC(=O)O
57401747,99.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CN(C(=O)C=C3)CCOC4=CC(=CC=C4)OCC(=O)O
11531874,4.1000000000000005,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC(=C(C=C4)F)F
11611101,2.9,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC(=CC=C4)F
46230283,1100.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)C(F)(F)F
11517351,14.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
11611100,8.7,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)F
24962860,18.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCC(=O)O
51031012,13.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=NN(C(=O)C=C3)CCCC4=CC(=CC=C4)OCCCC(=O)O
46230187,810.0,C1=CC=C(C=C1)C(C2=CC=CC=N2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46230225,3200.0,C1=CC=C(C=C1)C(C2=NC(=CC=C2)Cl)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46230092,340.0,C1=CC=C(C=C1)C(CC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4
